,SMILES,bace,esol,logD
118,CCC(NC1=CC=CC(C(N)=O)=C1OC)C1=NN(C)C=C1,,,
119,CN1N=C(CNS(=O)(=O)C2=CC=C3OC(C)(C)CC3=C2)C2=CC=CC=C21,,,
120,O=C(COC(=O)C1CCC(C2CCCO2)O1)C1CCC(F)(F)CC1,,,
121,CCNC(=O)C(C)(C)CNC(C1=CC=CC(F)=C1)C1=CC=CC(Br)=C1,,,
122,COC(=O)CN1N=C(C)C(CNS(=O)(=O)C2=C(Br)N=C[NH]2)=C1C,,,
123,CCCNC(=O)CCN1C(C2=CC=CN=C2)=NN=C1N(CC1=CC=C(F)C=C1)C(C)C,,,
124,CN(C)CCCC(C)(C)NC(=O)NCC1(C2=CC=C(F)C=C2Cl)CCCC1,,,
125,COC(CNC(=O)OC(C)(C)C)CC(=O)NC1=CC=CC2=C1[NH]C=C2,,,
126,CC1=CC=C(CCCN2C[C@@H]3C[C@H]2CN3C(=O)C2=NN(C(C)(C)C)N=N2)C=C1,,,
127,O=C(NC1=CC(C2=CC=C(Br)O2)=NO1)C1=CC=C(C2=CC(Cl)=CC=C2)[NH]C1=O,,,
128,CCC1CN(C)CCN1CC1=NN=C(C(C)(C)C)S1,,,
129,CC1=CN2C(C3=NOC(CN(C)C4CCSC4)=N3)=C(C)N=C2S1,,,
130,COC1=CC=C(OCCS(=O)CCCC2=CC=CC=C2OC)C=C1,,,
131,CC1=NC(C#N)=CC(NCC2(C3=CC=C(Br)C=C3Cl)CC2)=N1,,,
132,CCC(NC(=O)N1CC=C(C2=CC=CC(OC)=C2)C1)C1=NOC(C)=N1,,,
133,O=C(NC1CCC2=C1C=CC=C2Cl)C1=COC(C2=CC=C(F)C=C2)=N1,,,
134,CCOC(=O)C1(C)CCCC1NC(=O)C1=C(C(F)F)N(C2=CC=CC=C2)N=C1C(F)(F)F,,,
135,COC1=CC=C(CC(CO)CNS(=O)(=O)N2CCC3(CCCCC3)CC2)C=C1Br,,,
136,CC(C)N1C=CN=C1C(=O)NC1(C2=C(Cl)C=CC=C2Cl)CCC1,,,
137,CC1=CC(C(=O)NC2=CN(CC3=CC(F)=CC=C3)C(=O)C=C2)=CC(C)=C1OCC(=O)N1CCCCC1,,,
138,CNC(=O)CCS(=O)(=O)CC1=NC=CC=C1Cl,,,
139,CC(CNCC(C)(O)C1=CC=C(Br)C=C1Cl)C1=NN=CN1C,,,
140,CC1=CC2=C(C=N[NH]2)C=C1NC1=CC(OC2CCOCC2)=NC=N1,,,
141,CCN(CCC1=CC=CC=N1)C(=O)C1=CN2N=CC(C#N)=C2N=C1C,,,
142,CC1=CC2=CC=CN=C2C(S(=O)(=O)NC(C)CC(O)C2=CC=CS2)=C1,,,
143,CN1CCCC1CN1CC2=CC=CC=C2CO1,,,
144,CC1=CC=C(C2(C(=O)NC3=CC=CC(C)=C3C(=O)N3CCCC3)CCC2)C=C1,,,
145,CN(C)C1CCC2=CC(Br)=CC=C2N(C(=O)C2CCCN(C(=O)C3=CC=NC=C3)C2)C1,,,
146,O=C(OCCC1CCCC1=O)C1=C(Cl)C2=CC=CC=C2[NH]1,,,
