Index,SMILES,bace,esol,logD
94,CC(C(=O)NC1=CC=C2NC(=O)N(C)CC2=C1)C1=CC=CC=C1C(F)(F)F,4.266051,-4.9176884,0.85979384
95,COCC(=O)N1CCC(O)(CNC(=O)C(F)C(F)(F)F)CC1,4.140357,-5.0963254,0.8924227
96,CC1=NC(C2=CC=C(CNC(=O)C3=NC=CN4C(Br)=CN=C34)C=C2)=NO1,4.264667,-3.7785995,0.13513203
97,COCC(NC(=O)C1CC(C(C)(C)C)=NO1)C(=O)N1CCOCC1,4.347275,-5.1366014,0.29255354
98,C[C@H]1COC(C)(C)CN1C1=NC(Cl)=NC2=CC=CC=C12,4.124128,-4.260968,0.35539752
99,CC1CCC2=C(F)C=CC=C2C1NC(=O)CSCC1CCCCO1,4.542878,-4.9498186,0.95867723
100,CC1=NN=C(C(C)N(C)CCN(C)C(=O)C(C)(C)CC2=CC=CC=C2)S1,4.6251965,-4.7997346,0.81286246
101,COCC(NC(C)C1=C(C)N(C(C)C)N=C1)C1=CC=C(F)C(F)=C1,4.541505,-4.262414,0.13272938
102,CSC1=CC=C(NC(=O)NC2(C3=CC=C(Cl)C(Cl)=C3)CC2)N=C1,4.184887,-4.2452793,0.9876027
103,CN(CC1=NC2=CC=CC=C2S1)C1=NC(=O)[NH]C(Cl)=C1,3.715579,-3.7971883,0.444508
104,FC(F)CN1C=C(C=C(Cl)C2=NC3=CC=C(Br)C=C3O2)C=N1,3.7992234,-3.5186732,-0.75604314
105,COC1=CC(C)=CC=C1C(=O)N1CCN(C(=O)C2=N[NH]C3=C2CCCC3)CC1,4.258793,-4.4186687,0.20662773
106,O=C(NC1=CC=CC=C1C(O)C(F)(F)F)C1=N[NH]C=N1,3.6902583,-4.198945,0.4796613
107,CCC(C)(C)C1CCC2(CC1)CC2C(=O)NC1=CC=C(S(=O)(=O)CCO)C=C1C,4.1892905,-5.337977,0.5267108
108,CC(C)(C)C1=CSC(C2CCN(CC3=NC4=CC=CN=C4S3)CC2)=N1,4.0302444,-4.766522,0.21811143
109,CCC1=NC(C(C)C)=CC=C1C(=O)NC1=NC=CC(C2=CN(C)N=C2)=N1,4.549856,-4.421678,0.55915004
110,CC(NCCC1=NN(C(C)(C)C)N=N1)C1=CC=C(OCC2=CC=CN=C2)C=C1,4.231954,-4.9702396,0.6009793
111,CC1=CC(F)=C(Br)C=C1C(=O)N1CCC=C(Cl)C1,4.139759,-3.4848151,-0.31218618
112,CC1CCCN1C(=O)C1=CC=C(C2=NOC(C3=CC(N(C)C)=C4C=CC=CC4=N3)=N2)C=C1,4.682433,-5.207511,1.6091913
113,CS(=O)(=O)N1CCC[C@@H]1CNC(C1=CC=C2C=CC=CC2=C1)C(F)(F)F,4.1024623,-4.836224,0.47782826
114,COCC(C)(C)C(=O)N1CCC(C(C)NC(=O)C2=CC(F)=CC=C2Cl)C1,4.099803,-4.8910313,0.39794824
115,CCC1=NC(C)=C(CN2C(C3=CC=C4OCCOC4=C3)=NN=C2N(C)CC(C)C#N)O1,4.399184,-5.3019114,1.0466223
116,CCCC1CNCCN1C(=O)NCCN1C=CN=C1,4.0525827,-4.924601,0.5313454
117,CC(C)N(CC1=CC=CC(F)=C1)C1=NN=C(CC2=CC=NC=C2)N1CC1CCS(=O)(=O)C1,4.581811,-5.45481,0.46384352
118,CCC(NC1=CC=CC(C(N)=O)=C1OC)C1=NN(C)C=C1,4.1500516,-3.650027,0.7737321
119,CN1N=C(CNS(=O)(=O)C2=CC=C3OC(C)(C)CC3=C2)C2=CC=CC=C21,3.8373,-4.39418,0.6854208
120,O=C(COC(=O)C1CCC(C2CCCO2)O1)C1CCC(F)(F)CC1,4.098477,-5.7254133,0.63017255
121,CCNC(=O)C(C)(C)CNC(C1=CC=CC(F)=C1)C1=CC=CC(Br)=C1,4.3436933,-5.3213067,0.723308
122,COC(=O)CN1N=C(C)C(CNS(=O)(=O)C2=C(Br)N=C[NH]2)=C1C,3.7618232,-3.7486823,0.52029186
123,CCCNC(=O)CCN1C(C2=CC=CN=C2)=NN=C1N(CC1=CC=C(F)C=C1)C(C)C,4.9062047,-5.1029925,0.7354973
124,CN(C)CCCC(C)(C)NC(=O)NCC1(C2=CC=C(F)C=C2Cl)CCCC1,4.9574523,-5.098996,1.3782995
125,COC(CNC(=O)OC(C)(C)C)CC(=O)NC1=CC=CC2=C1[NH]C=C2,3.767009,-4.4794664,0.25067773
126,CC1=CC=C(CCCN2C[C@@H]3C[C@H]2CN3C(=O)C2=NN(C(C)(C)C)N=N2)C=C1,4.3983674,-4.9968824,0.31309325
127,O=C(NC1=CC(C2=CC=C(Br)O2)=NO1)C1=CC=C(C2=CC(Cl)=CC=C2)[NH]C1=O,4.490285,-4.362585,0.051457886
128,CCC1CN(C)CCN1CC1=NN=C(C(C)(C)C)S1,3.693433,-4.105356,-0.44638684
129,CC1=CN2C(C3=NOC(CN(C)C4CCSC4)=N3)=C(C)N=C2S1,4.3643208,-4.2075825,0.817547
130,COC1=CC=C(OCCS(=O)CCCC2=CC=CC=C2OC)C=C1,4.175579,-4.8346915,0.55364674
131,CC1=NC(C#N)=CC(NCC2(C3=CC=C(Br)C=C3Cl)CC2)=N1,3.9601908,-4.098672,0.72584355
132,CCC(NC(=O)N1CC=C(C2=CC=CC(OC)=C2)C1)C1=NOC(C)=N1,4.0369425,-4.417141,0.7151765
133,O=C(NC1CCC2=C1C=CC=C2Cl)C1=COC(C2=CC=C(F)C=C2)=N1,3.948705,-4.1873484,0.6141233
134,CCOC(=O)C1(C)CCCC1NC(=O)C1=C(C(F)F)N(C2=CC=CC=C2)N=C1C(F)(F)F,4.272524,-5.1702213,1.3760616
135,COC1=CC=C(CC(CO)CNS(=O)(=O)N2CCC3(CCCCC3)CC2)C=C1Br,3.737658,-5.1542954,0.4925602
136,CC(C)N1C=CN=C1C(=O)NC1(C2=C(Cl)C=CC=C2Cl)CCC1,4.564603,-4.4951053,1.4192243
137,CC1=CC(C(=O)NC2=CN(CC3=CC(F)=CC=C3)C(=O)C=C2)=CC(C)=C1OCC(=O)N1CCCCC1,4.530629,-5.229116,0.52374154
138,CNC(=O)CCS(=O)(=O)CC1=NC=CC=C1Cl,3.6320074,-4.0878444,0.43693635
139,CC(CNCC(C)(O)C1=CC=C(Br)C=C1Cl)C1=NN=CN1C,4.1738977,-4.774268,0.669345
140,CC1=CC2=C(C=N[NH]2)C=C1NC1=CC(OC2CCOCC2)=NC=N1,4.1257715,-4.6606555,0.5571989
141,CCN(CCC1=CC=CC=N1)C(=O)C1=CN2N=CC(C#N)=C2N=C1C,4.280016,-4.2431026,-0.030146208
142,CC1=CC2=CC=CN=C2C(S(=O)(=O)NC(C)CC(O)C2=CC=CS2)=C1,4.19289,-4.4769535,1.2602205
143,CN1CCCC1CN1CC2=CC=CC=C2CO1,4.3167753,-4.5959406,0.532933
144,CC1=CC=C(C2(C(=O)NC3=CC=CC(C)=C3C(=O)N3CCCC3)CCC2)C=C1,4.723442,-4.6912966,1.4881159
145,CN(C)C1CCC2=CC(Br)=CC=C2N(C(=O)C2CCCN(C(=O)C3=CC=NC=C3)C2)C1,4.6102886,-5.50268,0.40158725
