,SMILES,esol,logD,bace
59,CC1=CN=CC(CNC(=O)CCOC2=CC=C(Cl)C(Cl)=C2)=C1,-4.7180243,-0.150758,4.4082556
60,CCCCC(=O)COC(=O)CC(C)SC,-4.1543684,-0.42420858,3.2009535
61,CCC(CC)CN(CC)C(=O)C1(O)CCCC1,-4.050817,-0.3270387,3.3637536
62,O=C(NC1=CSC(C2=CC=C(Br)C=C2)=N1)C1=N[NH]C2=CC=CC=C2C1=O,-4.758333,0.7181309,4.546141
63,CC(C)N(CC1CCC1)CC12CCC(CC1)C2,-4.0327005,0.04238612,3.6877608
64,O=C(CCN1C=CN=N1)N1CCC2(CC1)CN(C1CCCC3=CC=C(F)C=C31)C2,-5.038392,0.44102305,5.0163946
65,CC1=C(C(=O)NS(=O)(=O)C2=CN=CC(Cl)=C2)N=NN1C,-3.987212,1.1978635,4.1094623
66,COC1=CC(C)=CN=C1C(=O)N1[C@H](C)CCC[C@@H]1C(=O)OC(C)(C)C,-4.6205826,0.5603536,4.2888355
67,CCCS(=O)(=O)CC(=O)N1CCCN(CC2=CC=C(OC)N=N2)CC1,-4.555988,0.7230162,4.215331
68,CCCC1=NC(C(=O)NC[C@@H]2C[C@H](C)CCN2C(=O)CC(C)(C)COC)=CO1,-5.0526543,0.50587666,3.8091545
69,C=CC1=CC=C(C(=O)NC(CNC(=O)CC2COC(=O)C2)C(C)(C)C)C=C1,-4.4344397,0.88056344,4.6512876
70,COC1=CC=CC(OC2=CC=C(C(=O)OC3CNC(=O)C(F)(F)C3)N=C2)=C1,-4.6804037,1.1934431,4.245714
71,CC1=CN(C(C)(C)C(=O)N2C[C@H]3[C@H]4CC[C@H](C4)[C@@]3(C)C2)N=C1C(F)(F)F,-4.5421124,0.99032974,3.1687953
72,COC(=O)C1=C(C)OC(C)=C1S(=O)(=O)N1CCN(CCC(=O)N2CCOC3=CC=CC=C32)CC1,-4.888605,1.3615825,4.5546923
73,COC1=CC=CC2=C1OC(C(C)NC1(C3=CC=C4OCOC4=C3)CC1)=C2,-5.085616,0.072016485,4.100173
74,CC1=CC=C(N2C=NN=C2SCC(=O)NC2C3=CC=CC=C3CC23CCOCC3)C=C1C,-4.882471,-0.009277668,4.9766355
75,CC(=O)N[C@@H](CC(=O)NC(CC(=O)OC(C)C)C(C)C)C(N)=O,-4.934884,0.40910468,3.6239944
76,CC(C)N1C=NN=C1SCC(=O)N1CCC(OCC2=CC=C(Br)C=C2)CC1,-4.358527,0.7163143,4.8957577
77,CSC1=NC(N2CCC(C3=NN=CN3C(C)C)CC2)=NS1,-4.1705236,0.1218941,3.9693155
78,CC(=O)N(C1=CC=C(NC(=O)C(C)N2C=NC3=C(N)N=CN=C32)C=C1)C1CC1C,-4.2936773,0.36566314,4.532729
79,CCOC(=O)C1=CN=C2C(F)=CC=C(F)C2=C1NC1CCC(O)(C2=CC=CN=C2)CC1,-4.953764,0.14845175,4.406304
80,CC(C1=NC=C(C2=CC=CC=C2)O1)N1CCC(CNC(=O)C2=CN=CC(F)=C2)C1,-4.87352,0.3238946,4.8473215
81,CC1=NC(Br)=C(CN(C)CC2=CN=C3C=CC(Cl)=CN23)[NH]1,-4.818845,0.39404693,3.4872718
82,COC1=CC=NC(N(C)C2CC(NC(=O)C3=CC=NC=C3Cl)C2)=N1,-4.1515026,0.033019695,4.280055
83,CC(=CC1=CC=CC=C1)CNC1=CC(C)=CC(C)=N1,-4.2443075,-0.1380001,4.0680704
84,CCC1=NN(C)C=C1C(=O)OCC1=CC=C(S(=O)(=O)C2=CC=C(C)C=C2)C=C1,-5.016378,1.3067291,4.474166
